6.69e-03,9.69e-01,9.91e-01,9.71e-01,9.85e-01,9.93e-01,9.88e-01,9.88e-01,9.88e-01,9.83e-01,9.84e-01,9.93e-01,9.79e-01,9.93e-01,6.69e-03,9.89e-01,9.86e-01,9.93e-01,9.90e-01,9.88e-01,9.93e-01
9.69e-01,6.69e-03,9.88e-01,4.56e-02,9.87e-01,9.93e-01,9.84e-01,9.90e-01,9.79e-01,9.81e-01,9.47e-01,9.93e-01,9.84e-01,9.93e-01,9.69e-01,9.88e-01,9.82e-01,9.93e-01,9.87e-01,9.90e-01,9.93e-01
9.91e-01,9.88e-01,6.69e-03,9.89e-01,9.89e-01,9.93e-01,9.90e-01,9.91e-01,9.90e-01,9.90e-01,9.90e-01,9.93e-01,9.38e-01,9.93e-01,9.91e-01,9.92e-01,9.83e-01,9.93e-01,9.92e-01,9.91e-01,9.93e-01
9.71e-01,4.56e-02,9.89e-01,6.69e-03,9.88e-01,9.93e-01,9.86e-01,9.87e-01,9.79e-01,9.83e-01,9.25e-01,9.93e-01,9.84e-01,9.93e-01,9.71e-01,9.88e-01,9.83e-01,9.93e-01,9.84e-01,9.89e-01,9.93e-01
9.85e-01,9.87e-01,9.89e-01,9.88e-01,6.69e-03,9.93e-01,9.91e-01,9.90e-01,9.87e-01,9.90e-01,9.90e-01,9.93e-01,9.81e-01,9.93e-01,9.85e-01,9.91e-01,4.44e-01,9.93e-01,9.92e-01,9.90e-01,9.93e-01
9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,6.69e-03,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.37e-01,9.93e-01,9.93e-01
9.88e-01,9.84e-01,9.90e-01,9.86e-01,9.91e-01,9.93e-01,6.69e-03,4.64e-01,3.81e-02,5.03e-01,9.63e-01,9.93e-01,9.90e-01,9.86e-01,9.88e-01,9.76e-01,9.88e-01,9.76e-01,9.87e-01,9.64e-01,9.93e-01
9.88e-01,9.90e-01,9.91e-01,9.87e-01,9.90e-01,9.93e-01,4.64e-01,6.69e-03,4.34e-01,3.17e-01,9.57e-01,9.93e-01,9.89e-01,9.93e-01,9.88e-01,9.59e-01,9.90e-01,9.85e-01,9.80e-01,8.80e-01,9.93e-01
9.88e-01,9.79e-01,9.90e-01,9.79e-01,9.87e-01,9.93e-01,3.81e-02,4.34e-01,6.69e-03,5.96e-01,9.40e-01,9.93e-01,9.90e-01,9.89e-01,9.88e-01,9.67e-01,9.88e-01,9.85e-01,9.84e-01,9.62e-01,9.93e-01
9.83e-01,9.81e-01,9.90e-01,9.83e-01,9.90e-01,9.93e-01,5.03e-01,3.17e-01,5.96e-01,6.69e-03,9.42e-01,9.93e-01,9.88e-01,9.93e-01,9.83e-01,9.67e-01,9.87e-01,9.88e-01,9.84e-01,9.34e-01,9.93e-01
9.84e-01,9.47e-01,9.90e-01,9.25e-01,9.90e-01,9.93e-01,9.63e-01,9.57e-01,9.40e-01,9.42e-01,6.69e-03,9.93e-01,9.88e-01,9.88e-01,9.84e-01,9.68e-01,9.87e-01,9.86e-01,9.70e-01,9.57e-01,9.93e-01
9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,6.69e-03,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01
9.79e-01,9.84e-01,9.38e-01,9.84e-01,9.81e-01,9.93e-01,9.90e-01,9.89e-01,9.90e-01,9.88e-01,9.88e-01,9.93e-01,6.69e-03,1.67e-01,9.79e-01,9.90e-01,9.84e-01,9.93e-01,9.91e-01,9.89e-01,9.93e-01
9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.86e-01,9.93e-01,9.89e-01,9.93e-01,9.88e-01,9.93e-01,1.67e-01,6.69e-03,9.93e-01,9.93e-01,9.93e-01,9.83e-01,9.93e-01,9.93e-01,9.93e-01
6.69e-03,9.69e-01,9.91e-01,9.71e-01,9.85e-01,9.93e-01,9.88e-01,9.88e-01,9.88e-01,9.83e-01,9.84e-01,9.93e-01,9.79e-01,9.93e-01,6.69e-03,9.89e-01,9.86e-01,9.93e-01,9.90e-01,9.88e-01,9.93e-01
9.89e-01,9.88e-01,9.92e-01,9.88e-01,9.91e-01,9.93e-01,9.76e-01,9.59e-01,9.67e-01,9.67e-01,9.68e-01,9.93e-01,9.90e-01,9.93e-01,9.89e-01,6.69e-03,9.91e-01,9.89e-01,9.85e-01,9.67e-01,9.93e-01
9.86e-01,9.82e-01,9.83e-01,9.83e-01,4.44e-01,9.93e-01,9.88e-01,9.90e-01,9.88e-01,9.87e-01,9.87e-01,9.93e-01,9.84e-01,9.93e-01,9.86e-01,9.91e-01,6.69e-03,9.93e-01,9.92e-01,9.90e-01,9.93e-01
9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.76e-01,9.85e-01,9.85e-01,9.88e-01,9.86e-01,9.93e-01,9.93e-01,9.83e-01,9.93e-01,9.89e-01,9.93e-01,6.69e-03,9.93e-01,9.85e-01,9.93e-01
9.90e-01,9.87e-01,9.92e-01,9.84e-01,9.92e-01,9.37e-01,9.87e-01,9.80e-01,9.84e-01,9.84e-01,9.70e-01,9.93e-01,9.91e-01,9.93e-01,9.90e-01,9.85e-01,9.92e-01,9.93e-01,6.69e-03,2.31e-01,9.93e-01
9.88e-01,9.90e-01,9.91e-01,9.89e-01,9.90e-01,9.93e-01,9.64e-01,8.80e-01,9.62e-01,9.34e-01,9.57e-01,9.93e-01,9.89e-01,9.93e-01,9.88e-01,9.67e-01,9.90e-01,9.85e-01,2.31e-01,6.69e-03,9.93e-01
9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,6.69e-03
